symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SNPS,2005-01-03 00:00:00+00:00,19.41,19.85,18.9,19.73,1935700,19.41,19.85,18.9,19.73,1935700,0.0,1.0
SNPS,2005-01-04 00:00:00+00:00,18.58,19.67,18.09,19.42,3051200,18.58,19.67,18.09,19.42,3051200,0.0,1.0
SNPS,2005-01-05 00:00:00+00:00,18.07,18.93,17.87,18.2,2055100,18.07,18.93,17.87,18.2,2055100,0.0,1.0
SNPS,2005-01-06 00:00:00+00:00,17.9,18.4,17.81,18.08,1755900,17.9,18.4,17.81,18.08,1755900,0.0,1.0
SNPS,2005-01-07 00:00:00+00:00,17.98,18.2,17.56,18.1,1844100,17.98,18.2,17.56,18.1,1844100,0.0,1.0
SNPS,2005-01-10 00:00:00+00:00,18.05,18.62,17.88,17.9,1778600,18.05,18.62,17.88,17.9,1778600,0.0,1.0
SNPS,2005-01-11 00:00:00+00:00,17.87,18.13,17.78,17.94,1597500,17.87,18.13,17.78,17.94,1597500,0.0,1.0
SNPS,2005-01-12 00:00:00+00:00,17.71,17.95,17.25,17.85,1215200,17.71,17.95,17.25,17.85,1215200,0.0,1.0
SNPS,2005-01-13 00:00:00+00:00,17.5,17.76,17.36,17.68,1121500,17.5,17.76,17.36,17.68,1121500,0.0,1.0
SNPS,2005-01-14 00:00:00+00:00,17.53,17.57,17.38,17.48,1406400,17.53,17.57,17.38,17.48,1406400,0.0,1.0
SNPS,2005-01-18 00:00:00+00:00,17.7,17.8,17.25,17.49,1072900,17.7,17.8,17.25,17.49,1072900,0.0,1.0
SNPS,2005-01-19 00:00:00+00:00,17.14,17.88,17.04,17.85,952200,17.14,17.88,17.04,17.85,952200,0.0,1.0
SNPS,2005-01-20 00:00:00+00:00,17.14,17.48,17.05,17.12,771500,17.14,17.48,17.05,17.12,771500,0.0,1.0
SNPS,2005-01-21 00:00:00+00:00,16.99,17.34,16.81,17.24,895400,16.99,17.34,16.81,17.24,895400,0.0,1.0
SNPS,2005-01-24 00:00:00+00:00,16.79,17.32,16.72,16.95,1169300,16.79,17.32,16.72,16.95,1169300,0.0,1.0
SNPS,2005-01-25 00:00:00+00:00,16.93,17.3,16.76,16.96,1208900,16.93,17.3,16.76,16.96,1208900,0.0,1.0
SNPS,2005-01-26 00:00:00+00:00,17.21,17.25,16.86,17.03,1087400,17.21,17.25,16.86,17.03,1087400,0.0,1.0
SNPS,2005-01-27 00:00:00+00:00,17.19,17.3,16.73,17.25,606700,17.19,17.3,16.73,17.25,606700,0.0,1.0
SNPS,2005-01-28 00:00:00+00:00,17.12,17.41,16.79,17.26,1799800,17.12,17.41,16.79,17.26,1799800,0.0,1.0
SNPS,2005-01-31 00:00:00+00:00,17.0,17.5,16.95,17.31,1898600,17.0,17.5,16.95,17.31,1898600,0.0,1.0
SNPS,2005-02-01 00:00:00+00:00,17.12,17.44,17.0,17.2,636200,17.12,17.44,17.0,17.2,636200,0.0,1.0
SNPS,2005-02-02 00:00:00+00:00,17.07,17.23,16.85,17.23,801200,17.07,17.23,16.85,17.23,801200,0.0,1.0
SNPS,2005-02-03 00:00:00+00:00,16.89,17.14,16.64,16.98,898200,16.89,17.14,16.64,16.98,898200,0.0,1.0
SNPS,2005-02-04 00:00:00+00:00,17.63,17.65,16.85,16.89,866600,17.63,17.65,16.85,16.89,866600,0.0,1.0
SNPS,2005-02-07 00:00:00+00:00,17.71,17.81,17.37,17.64,1334100,17.71,17.81,17.37,17.64,1334100,0.0,1.0
SNPS,2005-02-08 00:00:00+00:00,17.5,17.89,17.3,17.66,579200,17.5,17.89,17.3,17.66,579200,0.0,1.0
SNPS,2005-02-09 00:00:00+00:00,17.0,17.55,16.94,17.48,754000,17.0,17.55,16.94,17.48,754000,0.0,1.0
SNPS,2005-02-10 00:00:00+00:00,17.26,17.41,17.0,17.0,643100,17.26,17.41,17.0,17.0,643100,0.0,1.0
SNPS,2005-02-11 00:00:00+00:00,18.16,18.24,17.25,17.34,1098900,18.16,18.24,17.25,17.34,1098900,0.0,1.0
SNPS,2005-02-14 00:00:00+00:00,18.43,18.44,18.1,18.15,1464100,18.43,18.44,18.1,18.15,1464100,0.0,1.0
SNPS,2005-02-15 00:00:00+00:00,18.67,19.19,18.37,18.42,2776100,18.67,19.19,18.37,18.42,2776100,0.0,1.0
SNPS,2005-02-16 00:00:00+00:00,18.8,19.09,18.55,18.59,2259300,18.8,19.09,18.55,18.59,2259300,0.0,1.0
SNPS,2005-02-17 00:00:00+00:00,18.51,19.4,18.35,18.97,3426000,18.51,19.4,18.35,18.97,3426000,0.0,1.0
SNPS,2005-02-18 00:00:00+00:00,18.45,18.66,18.35,18.59,1956700,18.45,18.66,18.35,18.59,1956700,0.0,1.0
SNPS,2005-02-22 00:00:00+00:00,18.09,18.58,18.01,18.35,2515300,18.09,18.58,18.01,18.35,2515300,0.0,1.0
SNPS,2005-02-23 00:00:00+00:00,18.37,18.4,18.17,18.26,2282100,18.37,18.4,18.17,18.26,2282100,0.0,1.0
SNPS,2005-02-24 00:00:00+00:00,18.19,18.38,18.04,18.38,1907800,18.19,18.38,18.04,18.38,1907800,0.0,1.0
SNPS,2005-02-25 00:00:00+00:00,18.2,18.22,18.05,18.15,963500,18.2,18.22,18.05,18.15,963500,0.0,1.0
SNPS,2005-02-28 00:00:00+00:00,18.1,18.24,17.97,18.15,1278800,18.1,18.24,17.97,18.15,1278800,0.0,1.0
SNPS,2005-03-01 00:00:00+00:00,18.32,18.32,17.94,18.06,2476000,18.32,18.32,17.94,18.06,2476000,0.0,1.0
SNPS,2005-03-02 00:00:00+00:00,18.25,18.49,17.94,18.09,825600,18.25,18.49,17.94,18.09,825600,0.0,1.0
SNPS,2005-03-03 00:00:00+00:00,17.72,18.3,17.47,18.2,1491900,17.72,18.3,17.47,18.2,1491900,0.0,1.0
SNPS,2005-03-04 00:00:00+00:00,18.08,18.3,17.76,17.76,993800,18.08,18.3,17.76,17.76,993800,0.0,1.0
SNPS,2005-03-07 00:00:00+00:00,18.39,18.67,18.02,18.08,960600,18.39,18.67,18.02,18.08,960600,0.0,1.0
SNPS,2005-03-08 00:00:00+00:00,18.21,18.53,18.0699,18.3,1004500,18.21,18.53,18.0699,18.3,1004500,0.0,1.0
SNPS,2005-03-09 00:00:00+00:00,18.21,18.56,18.12,18.14,801200,18.21,18.56,18.12,18.14,801200,0.0,1.0
SNPS,2005-03-10 00:00:00+00:00,18.02,18.37,17.98,18.2,818100,18.02,18.37,17.98,18.2,818100,0.0,1.0
SNPS,2005-03-11 00:00:00+00:00,17.95,18.38,17.85,18.0,868200,17.95,18.38,17.85,18.0,868200,0.0,1.0
SNPS,2005-03-14 00:00:00+00:00,18.2,18.42,17.9,17.9,973200,18.2,18.42,17.9,17.9,973200,0.0,1.0
SNPS,2005-03-15 00:00:00+00:00,18.17,18.37,17.85,18.17,1030600,18.17,18.37,17.85,18.17,1030600,0.0,1.0
SNPS,2005-03-16 00:00:00+00:00,18.18,18.3,18.01,18.06,747600,18.18,18.3,18.01,18.06,747600,0.0,1.0
SNPS,2005-03-17 00:00:00+00:00,18.18,18.39,18.1,18.25,742000,18.18,18.39,18.1,18.25,742000,0.0,1.0
SNPS,2005-03-18 00:00:00+00:00,18.09,18.25,18.06,18.17,848000,18.09,18.25,18.06,18.17,848000,0.0,1.0
SNPS,2005-03-21 00:00:00+00:00,18.12,18.27,18.0,18.04,968500,18.12,18.27,18.0,18.04,968500,0.0,1.0
SNPS,2005-03-22 00:00:00+00:00,18.05,18.28,18.01,18.14,796400,18.05,18.28,18.01,18.14,796400,0.0,1.0
SNPS,2005-03-23 00:00:00+00:00,18.03,18.21,17.99,18.02,1032200,18.03,18.21,17.99,18.02,1032200,0.0,1.0
SNPS,2005-03-24 00:00:00+00:00,17.98,18.25,17.97,18.03,652200,17.98,18.25,17.97,18.03,652200,0.0,1.0
SNPS,2005-03-28 00:00:00+00:00,18.12,18.33,17.94,17.94,814500,18.12,18.33,17.94,17.94,814500,0.0,1.0
SNPS,2005-03-29 00:00:00+00:00,18.15,18.32,18.0,18.04,819100,18.15,18.32,18.0,18.04,819100,0.0,1.0
SNPS,2005-03-30 00:00:00+00:00,18.31,18.44,18.0,18.1,685600,18.31,18.44,18.0,18.1,685600,0.0,1.0
SNPS,2005-03-31 00:00:00+00:00,18.1,18.4,17.99,18.39,715100,18.1,18.4,17.99,18.39,715100,0.0,1.0
SNPS,2005-04-01 00:00:00+00:00,18.1,18.3,18.0,18.24,958300,18.1,18.3,18.0,18.24,958300,0.0,1.0
SNPS,2005-04-04 00:00:00+00:00,18.02,18.25,17.82,18.07,944500,18.02,18.25,17.82,18.07,944500,0.0,1.0
SNPS,2005-04-05 00:00:00+00:00,17.19,17.79,17.1,17.59,1457900,17.19,17.79,17.1,17.59,1457900,0.0,1.0
SNPS,2005-04-06 00:00:00+00:00,17.19,17.56,17.15,17.195,825800,17.19,17.56,17.15,17.195,825800,0.0,1.0
SNPS,2005-04-07 00:00:00+00:00,17.52,17.78,17.18,17.24,864800,17.52,17.78,17.18,17.24,864800,0.0,1.0
SNPS,2005-04-08 00:00:00+00:00,17.17,17.54,17.12,17.37,837000,17.17,17.54,17.12,17.37,837000,0.0,1.0
SNPS,2005-04-11 00:00:00+00:00,17.28,17.46,17.18,17.2,644800,17.28,17.46,17.18,17.2,644800,0.0,1.0
SNPS,2005-04-12 00:00:00+00:00,17.18,17.37,16.97,17.19,1335900,17.18,17.37,16.97,17.19,1335900,0.0,1.0
SNPS,2005-04-13 00:00:00+00:00,17.23,17.24,16.66,17.04,3444500,17.23,17.24,16.66,17.04,3444500,0.0,1.0
SNPS,2005-04-14 00:00:00+00:00,16.85,17.43,16.6,17.27,1596000,16.85,17.43,16.6,17.27,1596000,0.0,1.0
SNPS,2005-04-15 00:00:00+00:00,16.92,17.03,16.57,16.83,1137400,16.92,17.03,16.57,16.83,1137400,0.0,1.0
SNPS,2005-04-18 00:00:00+00:00,16.68,17.12,16.61,16.77,1286900,16.68,17.12,16.61,16.77,1286900,0.0,1.0
SNPS,2005-04-19 00:00:00+00:00,16.91,17.02,16.66,16.73,805500,16.91,17.02,16.66,16.73,805500,0.0,1.0
SNPS,2005-04-20 00:00:00+00:00,16.67,17.06,16.63,16.88,816300,16.67,17.06,16.63,16.88,816300,0.0,1.0
SNPS,2005-04-21 00:00:00+00:00,17.01,17.07,16.82,16.92,754900,17.01,17.07,16.82,16.92,754900,0.0,1.0
SNPS,2005-04-22 00:00:00+00:00,16.97,17.1,16.68,17.1,703100,16.97,17.1,16.68,17.1,703100,0.0,1.0
SNPS,2005-04-25 00:00:00+00:00,17.1,17.18,16.8,17.07,751200,17.1,17.18,16.8,17.07,751200,0.0,1.0
SNPS,2005-04-26 00:00:00+00:00,16.62,17.2,16.62,17.09,666300,16.62,17.2,16.62,17.09,666300,0.0,1.0
SNPS,2005-04-27 00:00:00+00:00,16.9,17.02,16.58,16.71,690200,16.9,17.02,16.58,16.71,690200,0.0,1.0
SNPS,2005-04-28 00:00:00+00:00,16.53,16.91,16.23,16.91,1053600,16.53,16.91,16.23,16.91,1053600,0.0,1.0
SNPS,2005-04-29 00:00:00+00:00,16.44,16.63,16.18,16.55,1089600,16.44,16.63,16.18,16.55,1089600,0.0,1.0
SNPS,2005-05-02 00:00:00+00:00,16.69,16.78,16.43,16.49,525000,16.69,16.78,16.43,16.49,525000,0.0,1.0
SNPS,2005-05-03 00:00:00+00:00,16.89,16.97,16.66,16.79,827900,16.89,16.97,16.66,16.79,827900,0.0,1.0
SNPS,2005-05-04 00:00:00+00:00,17.11,17.13,16.94,16.945,529700,17.11,17.13,16.94,16.945,529700,0.0,1.0
SNPS,2005-05-05 00:00:00+00:00,16.87,17.25,16.7,17.0,694700,16.87,17.25,16.7,17.0,694700,0.0,1.0
SNPS,2005-05-06 00:00:00+00:00,16.94,17.14,16.77,17.07,626400,16.94,17.14,16.77,17.07,626400,0.0,1.0
SNPS,2005-05-09 00:00:00+00:00,16.84,16.99,16.67,16.85,544500,16.84,16.99,16.67,16.85,544500,0.0,1.0
SNPS,2005-05-10 00:00:00+00:00,16.84,16.86,16.7,16.74,657400,16.84,16.86,16.7,16.74,657400,0.0,1.0
SNPS,2005-05-11 00:00:00+00:00,17.28,17.28,16.8,16.81,907800,17.28,17.28,16.8,16.81,907800,0.0,1.0
SNPS,2005-05-12 00:00:00+00:00,16.85,17.4,16.69,17.26,777100,16.85,17.4,16.69,17.26,777100,0.0,1.0
SNPS,2005-05-13 00:00:00+00:00,17.1,17.26,16.85,16.85,928300,17.1,17.26,16.85,16.85,928300,0.0,1.0
SNPS,2005-05-16 00:00:00+00:00,17.2,17.32,17.05,17.05,848300,17.2,17.32,17.05,17.05,848300,0.0,1.0
SNPS,2005-05-17 00:00:00+00:00,17.31,17.33,17.0,17.2,554900,17.31,17.33,17.0,17.2,554900,0.0,1.0
SNPS,2005-05-18 00:00:00+00:00,17.98,18.07,17.22,17.22,1696300,17.98,18.07,17.22,17.22,1696300,0.0,1.0
SNPS,2005-05-19 00:00:00+00:00,18.03,18.5,17.34,17.82,1541200,18.03,18.5,17.34,17.82,1541200,0.0,1.0
SNPS,2005-05-20 00:00:00+00:00,17.94,18.1,17.78,17.96,837700,17.94,18.1,17.78,17.96,837700,0.0,1.0
SNPS,2005-05-23 00:00:00+00:00,17.83,18.05,17.7,17.93,781500,17.83,18.05,17.7,17.93,781500,0.0,1.0
SNPS,2005-05-24 00:00:00+00:00,17.93,18.03,17.7,17.84,892700,17.93,18.03,17.7,17.84,892700,0.0,1.0
SNPS,2005-05-25 00:00:00+00:00,17.88,17.99,17.77,17.81,1180400,17.88,17.99,17.77,17.81,1180400,0.0,1.0
SNPS,2005-05-26 00:00:00+00:00,18.38,18.45,17.88,17.99,596000,18.38,18.45,17.88,17.99,596000,0.0,1.0
SNPS,2005-05-27 00:00:00+00:00,18.13,18.45,17.96,18.31,1599500,18.13,18.45,17.96,18.31,1599500,0.0,1.0
SNPS,2005-05-31 00:00:00+00:00,18.07,18.29,18.05,18.105,1276800,18.07,18.29,18.05,18.105,1276800,0.0,1.0
SNPS,2005-06-01 00:00:00+00:00,18.28,18.5,18.06,18.06,1072600,18.28,18.5,18.06,18.06,1072600,0.0,1.0
SNPS,2005-06-02 00:00:00+00:00,18.47,18.5,18.15,18.15,925100,18.47,18.5,18.15,18.15,925100,0.0,1.0
SNPS,2005-06-03 00:00:00+00:00,17.91,18.5,17.91,18.49,644700,17.91,18.5,17.91,18.49,644700,0.0,1.0
SNPS,2005-06-06 00:00:00+00:00,18.15,18.33,17.9,17.92,1165700,18.15,18.33,17.9,17.92,1165700,0.0,1.0
SNPS,2005-06-07 00:00:00+00:00,18.08,18.39,17.91,18.1,728200,18.08,18.39,17.91,18.1,728200,0.0,1.0
SNPS,2005-06-08 00:00:00+00:00,18.26,18.48,18.05,18.07,901400,18.26,18.48,18.05,18.07,901400,0.0,1.0
SNPS,2005-06-09 00:00:00+00:00,18.33,18.38,17.9199,18.33,972100,18.33,18.38,17.9199,18.33,972100,0.0,1.0
SNPS,2005-06-10 00:00:00+00:00,18.33,18.43,18.05,18.4,584700,18.33,18.43,18.05,18.4,584700,0.0,1.0
SNPS,2005-06-13 00:00:00+00:00,18.57,18.68,18.22,18.255,937700,18.57,18.68,18.22,18.255,937700,0.0,1.0
SNPS,2005-06-14 00:00:00+00:00,18.62,18.77,18.43,18.51,853500,18.62,18.77,18.43,18.51,853500,0.0,1.0
SNPS,2005-06-15 00:00:00+00:00,18.5,18.68,18.24,18.6,865000,18.5,18.68,18.24,18.6,865000,0.0,1.0
SNPS,2005-06-16 00:00:00+00:00,18.8,18.8,18.31,18.55,999400,18.8,18.8,18.31,18.55,999400,0.0,1.0
SNPS,2005-06-17 00:00:00+00:00,17.44,18.47,17.14,18.31,3459600,17.44,18.47,17.14,18.31,3459600,0.0,1.0
SNPS,2005-06-20 00:00:00+00:00,17.49,17.55,16.81,17.5,1283800,17.49,17.55,16.81,17.5,1283800,0.0,1.0
SNPS,2005-06-21 00:00:00+00:00,17.42,17.65,17.25,17.465,827500,17.42,17.65,17.25,17.465,827500,0.0,1.0
SNPS,2005-06-22 00:00:00+00:00,17.31,17.56,17.0501,17.52,870300,17.31,17.56,17.0501,17.52,870300,0.0,1.0
SNPS,2005-06-23 00:00:00+00:00,17.16,17.65,17.12,17.26,873100,17.16,17.65,17.12,17.26,873100,0.0,1.0
SNPS,2005-06-24 00:00:00+00:00,16.8,17.12,16.49,17.08,2136800,16.8,17.12,16.49,17.08,2136800,0.0,1.0
SNPS,2005-06-27 00:00:00+00:00,16.61,16.8,16.44,16.68,590400,16.61,16.8,16.44,16.68,590400,0.0,1.0
